,,Date,yes_d,yes_r,no_d,no_r,polarity
113,209,2013-06-06,195,1,0,226,0.995260663507109
113,210,2013-06-06,25,220,173,10,-0.8364485981308412
113,211,2013-06-11,182,222,0,0,-0.09900990099009901
113,212,2013-06-11,185,224,0,0,-0.09535452322738386
113,213,2013-06-12,10,229,184,0,-0.9527186761229315
113,214,2013-06-12,181,230,12,0,-0.14420803782505912
113,215,2013-06-12,191,229,2,0,-0.0947867298578199
113,216,2013-06-12,192,2,2,228,0.9811320754716981
113,217,2013-06-12,73,228,123,2,-0.647887323943662
113,218,2013-06-12,193,230,0,0,-0.08747044917257683
113,219,2013-06-13,2,231,195,0,-0.9906542056074766
113,220,2013-06-13,8,230,188,1,-0.9578454332552693
113,221,2013-06-13,91,15,101,217,0.4528301886792453
113,222,2013-06-13,7,228,185,4,-0.9481132075471698
113,223,2013-06-13,10,196,184,36,-0.784037558685446
113,224,2013-06-13,1,177,193,55,-0.7370892018779343
113,225,2013-06-13,185,120,9,112,0.39436619718309857
113,226,2013-06-13,3,211,190,21,-0.8870588235294118
113,227,2013-06-13,181,19,13,213,0.8497652582159625
113,228,2013-06-14,12,227,180,2,-0.9334916864608076
113,229,2013-06-14,61,0,132,230,0.375886524822695
113,230,2013-06-14,111,23,83,207,0.5
113,231,2013-06-14,65,6,129,224,0.3632075471698113
113,232,2013-06-14,191,5,4,225,0.9576470588235294
113,233,2013-06-14,61,62,133,168,0.08018867924528301
113,234,2013-06-14,80,30,113,200,0.32387706855791965
113,235,2013-06-14,11,225,184,5,-0.9247058823529412
113,236,2013-06-14,173,2,21,228,0.8915094339622641
113,237,2013-06-14,150,0,44,230,0.7924528301886793
113,238,2013-06-14,141,5,53,225,0.7264150943396226
113,239,2013-06-14,171,20,22,210,0.8014184397163121
113,240,2013-06-14,193,227,1,2,-0.07801418439716312
113,241,2013-06-14,194,229,0,0,-0.08274231678486997
113,242,2013-06-14,192,2,0,225,0.9904534606205251
113,243,2013-06-14,103,212,91,18,-0.42924528301886794
113,244,2013-06-17,187,211,0,0,-0.06030150753768844
113,245,2013-06-17,187,210,0,1,-0.05527638190954774
113,246,2013-06-17,186,209,0,1,-0.05555555555555555
113,247,2013-06-18,0,229,196,0,-1.0
113,248,2013-06-18,5,227,191,2,-0.9670588235294117
113,249,2013-06-18,195,229,0,0,-0.08018867924528301
113,250,2013-06-18,6,222,191,6,-0.9435294117647058
113,251,2013-06-18,194,200,0,27,0.0498812351543943
113,252,2013-06-19,4,229,187,0,-0.9809523809523809
113,253,2013-06-19,15,224,173,4,-0.9086538461538461
113,254,2013-06-19,119,156,69,70,-0.08695652173913043
113,255,2013-06-19,184,5,8,226,0.9385342789598109
113,256,2013-06-19,84,183,108,48,-0.375886524822695
113,257,2013-06-19,3,109,187,122,-0.40617577197149646
113,258,2013-06-19,170,9,20,222,0.8622327790973872
113,259,2013-06-19,153,4,39,227,0.7966903073286052
113,260,2013-06-19,192,81,0,149,0.6161137440758294
113,261,2013-06-19,98,105,94,126,0.0591016548463357
113,262,2013-06-19,9,89,180,142,-0.28095238095238095
113,263,2013-06-20,2,101,193,129,-0.3835294117647059
113,264,2013-06-20,117,6,74,223,0.6190476190476191
113,265,2013-06-20,5,74,190,156,-0.24235294117647058
113,266,2013-06-20,0,194,195,37,-0.8262910798122066
113,267,2013-06-20,188,23,7,208,0.8591549295774648
